company_id,type,rule_id,text,confidence_pct
ABB,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ABB,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ABB,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
ADANIENSOL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIENSOL,Con,C1,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring.,90
ADANIENSOL,Con,C10,Return on capital employed below 10% suggests weaker capital efficiency.,80
ADANIGREEN,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
ADANIGREEN,Con,C1,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,90
ADANIPORTS,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIPORTS,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
ADANIPOWER,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ADANIPOWER,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ADANIPOWER,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
APOLLOHOSP,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
ASIANPAINT,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ASIANPAINT,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
BAJAJ-AUTO,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJAJ-AUTO,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
AXISBANK,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
AXISBANK,Con,C1,Debt-to-equity ratio of 8.25 is elevated and warrants monitoring.,90
AXISBANK,Con,C10,Return on capital employed below 10% suggests weaker capital efficiency.,80
BAJAJFINSV,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BAJAJFINSV,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
BAJAJFINSV,Con,C1,Debt-to-equity ratio of 4.79 is elevated and warrants monitoring.,90
BAJAJHLDNG,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
BAJAJHLDNG,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
BAJFINANCE,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
BAJFINANCE,Con,C1,Debt-to-equity ratio of 3.82 is elevated and warrants monitoring.,90
BANKBARODA,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
BANKBARODA,Con,C1,Debt-to-equity ratio of 12.14 is elevated and warrants monitoring.,90
BANKBARODA,Con,C10,Return on capital employed below 10% suggests weaker capital efficiency.,80
BHARTIARTL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
BHARTIARTL,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
BHARTIARTL,Con,C1,Debt-to-equity ratio of 2.61 is elevated and warrants monitoring.,90
BEL,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BEL,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
BHEL,Con,C10,Return on capital employed below 10% suggests weaker capital efficiency.,80
BOSCHLTD,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BOSCHLTD,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
BPCL,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BPCL,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
BRITANNIA,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
BRITANNIA,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
CANBK,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
CANBK,Con,C1,Debt-to-equity ratio of 14.87 is elevated and warrants monitoring.,90
CANBK,Con,C10,Return on capital employed below 10% suggests weaker capital efficiency.,80
CHOLAFIN,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
CHOLAFIN,Con,C1,Debt-to-equity ratio of 6.86 is elevated and warrants monitoring.,90
CIPLA,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
CIPLA,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
COALINDIA,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
COALINDIA,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
COALINDIA,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
DABUR,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
DIVISLAB,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,85
DIVISLAB,Pro,P5,Operating profit margin above 25% indicates strong pricing power.,88
